"Notes"	"State"	"State Code"	"Year"	"Year Code"	Cases	Percent of Total
	"Kentucky"	"21"	"1998"	"1998"	179	0.05%
	"Kentucky"	"21"	"1997"	"1997"	183	0.05%
	"Kentucky"	"21"	"1996"	"1996"	259	0.07%
	"Kentucky"	"21"	"1995"	"1995"	327	0.09%
	"Kentucky"	"21"	"1994"	"1994"	345	0.09%
	"Kentucky"	"21"	"1993"	"1993"	402	0.11%
"Total"	"Kentucky"	"21"			3783	1.00%
	"Louisiana"	"22"	"2018"	"2018"	105	0.03%
	"Louisiana"	"22"	"2017"	"2017"	141	0.04%
	"Louisiana"	"22"	"2016"	"2016"	128	0.03%
	"Louisiana"	"22"	"2015"	"2015"	119	0.03%
	"Louisiana"	"22"	"2014"	"2014"	121	0.03%
	"Louisiana"	"22"	"2013"	"2013"	139	0.04%
	"Louisiana"	"22"	"2012"	"2012"	148	0.04%
	"Louisiana"	"22"	"2011"	"2011"	167	0.04%
	"Louisiana"	"22"	"2010"	"2010"	200	0.05%
	"Louisiana"	"22"	"2009"	"2009"	194	0.05%
	"Louisiana"	"22"	"2008"	"2008"	227	0.06%
	"Louisiana"	"22"	"2007"	"2007"	217	0.06%
	"Louisiana"	"22"	"2006"	"2006"	205	0.05%
	"Louisiana"	"22"	"2005"	"2005"	266	0.07%
	"Louisiana"	"22"	"2004"	"2004"	248	0.07%
	"Louisiana"	"22"	"2003"	"2003"	256	0.07%
	"Louisiana"	"22"	"2002"	"2002"	230	0.06%
	"Louisiana"	"22"	"2001"	"2001"	294	0.08%
	"Louisiana"	"22"	"2000"	"2000"	331	0.09%
	"Louisiana"	"22"	"1999"	"1999"	357	0.09%
	"Louisiana"	"22"	"1998"	"1998"	379	0.10%
	"Louisiana"	"22"	"1997"	"1997"	406	0.11%
	"Louisiana"	"22"	"1996"	"1996"	420	0.11%
	"Louisiana"	"22"	"1995"	"1995"	474	0.13%
	"Louisiana"	"22"	"1994"	"1994"	434	0.11%
	"Louisiana"	"22"	"1993"	"1993"	363	0.10%
"Total"	"Louisiana"	"22"			6569	1.74%
	"Maine"	"23"	"2018"	"2018"	14	0.00%
	"Maine"	"23"	"2017"	"2017"	14	0.00%
	"Maine"	"23"	"2016"	"2016"	23	0.01%
	"Maine"	"23"	"2015"	"2015"	18	0.00%
	"Maine"	"23"	"2014"	"2014"	14	0.00%
	"Maine"	"23"	"2013"	"2013"	15	0.00%
	"Maine"	"23"	"2012"	"2012"	17	0.00%
	"Maine"	"23"	"2011"	"2011"	9	0.00%
	"Maine"	"23"	"2010"	"2010"	8	0.00%
	"Maine"	"23"	"2009"	"2009"	9	0.00%
	"Maine"	"23"	"2008"	"2008"	9	0.00%
	"Maine"	"23"	"2007"	"2007"	19	0.01%
	"Maine"	"23"	"2006"	"2006"	16	0.00%
	"Maine"	"23"	"2005"	"2005"	17	0.00%
	"Maine"	"23"	"2004"	"2004"	20	0.01%
	"Maine"	"23"	"2003"	"2003"	24	0.01%
	"Maine"	"23"	"2002"	"2002"	23	0.01%
	"Maine"	"23"	"2001"	"2001"	20	0.01%
	"Maine"	"23"	"2000"	"2000"	24	0.01%
	"Maine"	"23"	"1999"	"1999"	23	0.01%
	"Maine"	"23"	"1998"	"1998"	13	0.00%
	"Maine"	"23"	"1997"	"1997"	21	0.01%
	"Maine"	"23"	"1996"	"1996"	21	0.01%
	"Maine"	"23"	"1995"	"1995"	28	0.01%
	"Maine"	"23"	"1994"	"1994"	35	0.01%
	"Maine"	"23"	"1993"	"1993"	28	0.01%
"Total"	"Maine"	"23"			482	0.13%
	"Maryland"	"24"	"2018"	"2018"	208	0.05%
	"Maryland"	"24"	"2017"	"2017"	207	0.05%
	"Maryland"	"24"	"2016"	"2016"	221	0.06%
	"Maryland"	"24"	"2015"	"2015"	176	0.05%
	"Maryland"	"24"	"2014"	"2014"	197	0.05%
	"Maryland"	"24"	"2013"	"2013"	175	0.05%
	"Maryland"	"24"	"2012"	"2012"	223	0.06%
	"Maryland"	"24"	"2011"	"2011"	232	0.06%
	"Maryland"	"24"	"2010"	"2010"	220	0.06%
	"Maryland"	"24"	"2009"	"2009"	218	0.06%
	"Maryland"	"24"	"2008"	"2008"	278	0.07%
	"Maryland"	"24"	"2007"	"2007"	271	0.07%
	"Maryland"	"24"	"2006"	"2006"	252	0.07%
	"Maryland"	"24"	"2005"	"2005"	283	0.07%
	"Maryland"	"24"	"2004"	"2004"	313	0.08%
	"Maryland"	"24"	"2003"	"2003"	269	0.07%
	"Maryland"	"24"	"2002"	"2002"	306	0.08%
	"Maryland"	"24"	"2001"	"2001"	262	0.07%
	"Maryland"	"24"	"2000"	"2000"	283	0.07%
	"Maryland"	"24"	"1999"	"1999"	292	0.08%
	"Maryland"	"24"	"1998"	"1998"	321	0.08%
	"Maryland"	"24"	"1997"	"1997"	338	0.09%
	"Maryland"	"24"	"1996"	"1996"	317	0.08%
	"Maryland"	"24"	"1995"	"1995"	369	0.10%
	"Maryland"	"24"	"1994"	"1994"	362	0.10%
	"Maryland"	"24"	"1993"	"1993"	417	0.11%
"Total"	"Maryland"	"24"			7010	1.85%
	"Massachusetts"	"25"	"2018"	"2018"	200	0.05%
	"Massachusetts"	"25"	"2017"	"2017"	209	0.06%
	"Massachusetts"	"25"	"2016"	"2016"	190	0.05%
	"Massachusetts"	"25"	"2015"	"2015"	192	0.05%
	"Massachusetts"	"25"	"2014"	"2014"	200	0.05%
	"Massachusetts"	"25"	"2013"	"2013"	200	0.05%
	"Massachusetts"	"25"	"2012"	"2012"	215	0.06%
	"Massachusetts"	"25"	"2011"	"2011"	194	0.05%
	"Massachusetts"	"25"	"2010"	"2010"	158	0.04%
	"Massachusetts"	"25"	"2009"	"2009"	236	0.06%
	"Massachusetts"	"25"	"2008"	"2008"	261	0.07%
	"Massachusetts"	"25"	"2007"	"2007"	224	0.06%
	"Massachusetts"	"25"	"2006"	"2006"	259	0.07%
	"Massachusetts"	"25"	"2005"	"2005"	266	0.07%
	"Massachusetts"	"25"	"2004"	"2004"	283	0.07%
	"Massachusetts"	"25"	"2003"	"2003"	261	0.07%
	"Massachusetts"	"25"	"2002"	"2002"	271	0.07%
	"Massachusetts"	"25"	"2001"	"2001"	270	0.07%
	"Massachusetts"	"25"	"2000"	"2000"	285	0.08%
	"Massachusetts"	"25"	"1999"	"1999"	270	0.07%
	"Massachusetts"	"25"	"1998"	"1998"	280	0.07%
	"Massachusetts"	"25"	"1997"	"1997"	268	0.07%
	"Massachusetts"	"25"	"1996"	"1996"	262	0.07%
	"Massachusetts"	"25"	"1995"	"1995"	330	0.09%
	"Massachusetts"	"25"	"1994"	"1994"	329	0.09%
	"Massachusetts"	"25"	"1993"	"1993"	366	0.10%
"Total"	"Massachusetts"	"25"			6479	1.71%
	"Michigan"	"26"	"2018"	"2018"	108	0.03%
	"Michigan"	"26"	"2017"	"2017"	133	0.04%
	"Michigan"	"26"	"2016"	"2016"	133	0.04%
	"Michigan"	"26"	"2015"	"2015"	131	0.03%
	"Michigan"	"26"	"2014"	"2014"	105	0.03%
	"Michigan"	"26"	"2013"	"2013"	141	0.04%
	"Michigan"	"26"	"2012"	"2012"	150	0.04%
	"Michigan"	"26"	"2011"	"2011"	169	0.04%
	"Michigan"	"26"	"2010"	"2010"	182	0.05%
	"Michigan"	"26"	"2009"	"2009"	144	0.04%
	"Michigan"	"26"	"2008"	"2008"	188	0.05%
	"Michigan"	"26"	"2007"	"2007"	226	0.06%
	"Michigan"	"26"	"2006"	"2006"	221	0.06%
	"Michigan"	"26"	"2005"	"2005"	245	0.06%
	"Michigan"	"26"	"2004"	"2004"	272	0.07%
	"Michigan"	"26"	"2003"	"2003"	243	0.06%
	"Michigan"	"26"	"2002"	"2002"	315	0.08%
	"Michigan"	"26"	"2001"	"2001"	329	0.09%
	"Michigan"	"26"	"2000"	"2000"	287	0.08%
	"Michigan"	"26"	"1999"	"1999"	349	0.09%
	"Michigan"	"26"	"1998"	"1998"	383	0.10%
	"Michigan"	"26"	"1997"	"1997"	372	0.10%
	"Michigan"	"26"	"1996"	"1996"	440	0.12%
	"Michigan"	"26"	"1995"	"1995"	424	0.11%
	"Michigan"	"26"	"1994"	"1994"	461	0.12%
	"Michigan"	"26"	"1993"	"1993"	480	0.13%
"Total"	"Michigan"	"26"			6631	1.75%
	"Minnesota"	"27"	"2018"	"2018"	172	0.05%
	"Minnesota"	"27"	"2017"	"2017"	178	0.05%
	"Minnesota"	"27"	"2016"	"2016"	168	0.04%
	"Minnesota"	"27"	"2015"	"2015"	150	0.04%
	"Minnesota"	"27"	"2014"	"2014"	147	0.04%
	"Minnesota"	"27"	"2013"	"2013"	151	0.04%
	"Minnesota"	"27"	"2012"	"2012"	162	0.04%
	"Minnesota"	"27"	"2011"	"2011"	137	0.04%
	"Minnesota"	"27"	"2010"	"2010"	135	0.04%
	"Minnesota"	"27"	"2009"	"2009"	161	0.04%
	"Minnesota"	"27"	"2008"	"2008"	211	0.06%
	"Minnesota"	"27"	"2007"	"2007"	238	0.06%
	"Minnesota"	"27"	"2006"	"2006"	217	0.06%
	"Minnesota"	"27"	"2005"	"2005"	199	0.05%
	"Minnesota"	"27"	"2004"	"2004"	199	0.05%
	"Minnesota"	"27"	"2003"	"2003"	214	0.06%
	"Minnesota"	"27"	"2002"	"2002"	237	0.06%
	"Minnesota"	"27"	"2001"	"2001"	239	0.06%
	"Minnesota"	"27"	"2000"	"2000"	178	0.05%
	"Minnesota"	"27"	"1999"	"1999"	201	0.05%
	"Minnesota"	"27"	"1998"	"1998"	161	0.04%
	"Minnesota"	"27"	"1997"	"1997"	161	0.04%
	"Minnesota"	"27"	"1996"	"1996"	131	0.03%
	"Minnesota"	"27"	"1995"	"1995"	156	0.04%
	"Minnesota"	"27"	"1994"	"1994"	140	0.04%
	"Minnesota"	"27"	"1993"	"1993"	141	0.04%
"Total"	"Minnesota"	"27"			4584	1.21%
	"Mississippi"	"28"	"2018"	"2018"	80	0.02%
	"Mississippi"	"28"	"2017"	"2017"	52	0.01%
	"Mississippi"	"28"	"2016"	"2016"	61	0.02%
	"Mississippi"	"28"	"2015"	"2015"	73	0.02%
	"Mississippi"	"28"	"2014"	"2014"	74	0.02%
	"Mississippi"	"28"	"2013"	"2013"	65	0.02%
	"Mississippi"	"28"	"2012"	"2012"	81	0.02%
	"Mississippi"	"28"	"2011"	"2011"	91	0.02%
	"Mississippi"	"28"	"2010"	"2010"	116	0.03%
	"Mississippi"	"28"	"2009"	"2009"	121	0.03%
	"Mississippi"	"28"	"2008"	"2008"	117	0.03%
	"Mississippi"	"28"	"2007"	"2007"	137	0.04%
	"Mississippi"	"28"	"2006"	"2006"	115	0.03%
	"Mississippi"	"28"	"2005"	"2005"	103	0.03%
	"Mississippi"	"28"	"2004"	"2004"	119	0.03%
	"Mississippi"	"28"	"2003"	"2003"	129	0.03%
	"Mississippi"	"28"	"2002"	"2002"	134	0.04%
	"Mississippi"	"28"	"2001"	"2001"	154	0.04%
	"Mississippi"	"28"	"2000"	"2000"	173	0.05%
	"Mississippi"	"28"	"1999"	"1999"	215	0.06%
	"Mississippi"	"28"	"1998"	"1998"	225	0.06%
	"Mississippi"	"28"	"1997"	"1997"	245	0.06%
	"Mississippi"	"28"	"1996"	"1996"	250	0.07%
	"Mississippi"	"28"	"1995"	"1995"	271	0.07%
	"Mississippi"	"28"	"1994"	"1994"	278	0.07%
	"Mississippi"	"28"	"1993"	"1993"	279	0.07%
"Total"	"Mississippi"	"28"			3758	0.99%
	"Missouri"	"29"	"2018"	"2018"	81	0.02%
	"Missouri"	"29"	"2017"	"2017"	87	0.02%
	"Missouri"	"29"	"2016"	"2016"	99	0.03%
	"Missouri"	"29"	"2015"	"2015"	92	0.02%
	"Missouri"	"29"	"2014"	"2014"	78	0.02%
	"Missouri"	"29"	"2013"	"2013"	103	0.03%
	"Missouri"	"29"	"2012"	"2012"	87	0.02%
	"Missouri"	"29"	"2011"	"2011"	92	0.02%
	"Missouri"	"29"	"2010"	"2010"	101	0.03%
	"Missouri"	"29"	"2009"	"2009"	77	0.02%
	"Missouri"	"29"	"2008"	"2008"	107	0.03%
	"Missouri"	"29"	"2007"	"2007"	118	0.03%
	"Missouri"	"29"	"2006"	"2006"	104	0.03%
	"Missouri"	"29"	"2005"	"2005"	108	0.03%
	"Missouri"	"29"	"2004"	"2004"	127	0.03%
	"Missouri"	"29"	"2003"	"2003"	130	0.03%
	"Missouri"	"29"	"2002"	"2002"	136	0.04%
	"Missouri"	"29"	"2001"	"2001"	156	0.04%
	"Missouri"	"29"	"2000"	"2000"	210	0.06%
	"Missouri"	"29"	"1999"	"1999"	208	0.05%
	"Missouri"	"29"	"1998"	"1998"	184	0.05%
	"Missouri"	"29"	"1997"	"1997"	248	0.07%
	"Missouri"	"29"	"1996"	"1996"	224	0.06%
	"Missouri"	"29"	"1995"	"1995"	244	0.06%
	"Missouri"	"29"	"1994"	"1994"	259	0.07%
	"Missouri"	"29"	"1993"	"1993"	256	0.07%
"Total"	"Missouri"	"29"			3716	0.98%
	"Montana"	"30"	"2018"	"2018"	5	0.00%
	"Montana"	"30"	"2017"	"2017"	3	0.00%
	"Montana"	"30"	"2016"	"2016"	4	0.00%
	"Montana"	"30"	"2015"	"2015"	9	0.00%
	"Montana"	"30"	"2014"	"2014"	6	0.00%
	"Montana"	"30"	"2013"	"2013"	6	0.00%
	"Montana"	"30"	"2012"	"2012"	5	0.00%
	"Montana"	"30"	"2011"	"2011"	8	0.00%
	"Montana"	"30"	"2010"	"2010"	6	0.00%
	"Montana"	"30"	"2009"	"2009"	8	0.00%
	"Montana"	"30"	"2008"	"2008"	9	0.00%
	"Montana"	"30"	"2007"	"2007"	11	0.00%
	"Montana"	"30"	"2006"	"2006"	13	0.00%
	"Montana"	"30"	"2005"	"2005"	10	0.00%
	"Montana"	"30"	"2004"	"2004"	15	0.00%
	"Montana"	"30"	"2003"	"2003"	7	0.00%
	"Montana"	"30"	"2002"	"2002"	12	0.00%
	"Montana"	"30"	"2001"	"2001"	20	0.01%
	"Montana"	"30"	"2000"	"2000"	21	0.01%
	"Montana"	"30"	"1999"	"1999"	14	0.00%
	"Montana"	"30"	"1998"	"1998"	20	0.01%
	"Montana"	"30"	"1997"	"1997"	18	0.00%
	"Montana"	"30"	"1996"	"1996"	19	0.01%
	"Montana"	"30"	"1995"	"1995"	21	0.01%
	"Montana"	"30"	"1994"	"1994"	25	0.01%
	"Montana"	"30"	"1993"	"1993"	22	0.01%
"Total"	"Montana"	"30"			317	0.08%
	"Nebraska"	"31"	"2018"	"2018"	27	0.01%
	"Nebraska"	"31"	"2017"	"2017"	21	0.01%
	"Nebraska"	"31"	"2016"	"2016"	28	0.01%
	"Nebraska"	"31"	"2015"	"2015"	33	0.01%
	"Nebraska"	"31"	"2014"	"2014"	38	0.01%
	"Nebraska"	"31"	"2013"	"2013"	21	0.01%
	"Nebraska"	"31"	"2012"	"2012"	22	0.01%
	"Nebraska"	"31"	"2011"	"2011"	23	0.01%
	"Nebraska"	"31"	"2010"	"2010"	27	0.01%
	"Nebraska"	"31"	"2009"	"2009"	32	0.01%
	"Nebraska"	"31"	"2008"	"2008"	33	0.01%
	"Nebraska"	"31"	"2007"	"2007"	25	0.01%
	"Nebraska"	"31"	"2006"	"2006"	25	0.01%
	"Nebraska"	"31"	"2005"	"2005"	35	0.01%
	"Nebraska"	"31"	"2004"	"2004"	39	0.01%
	"Nebraska"	"31"	"2003"	"2003"	28	0.01%
	"Nebraska"	"31"	"2002"	"2002"	28	0.01%
	"Nebraska"	"31"	"2001"	"2001"	40	0.01%
	"Nebraska"	"31"	"2000"	"2000"	24	0.01%
	"Nebraska"	"31"	"1999"	"1999"	18	0.00%
	"Nebraska"	"31"	"1998"	"1998"	31	0.01%
	"Nebraska"	"31"	"1997"	"1997"	22	0.01%
	"Nebraska"	"31"	"1996"	"1996"	22	0.01%
	"Nebraska"	"31"	"1995"	"1995"	24	0.01%
	"Nebraska"	"31"	"1994"	"1994"	22	0.01%
	"Nebraska"	"31"	"1993"	"1993"	23	0.01%
"Total"	"Nebraska"	"31"			711	0.19%
	"Nevada"	"32"	"2018"	"2018"	69	0.02%
	"Nevada"	"32"	"2017"	"2017"	80	0.02%
	"Nevada"	"32"	"2016"	"2016"	55	0.01%
	"Nevada"	"32"	"2015"	"2015"	85	0.02%
	"Nevada"	"32"	"2014"	"2014"	74	0.02%
	"Nevada"	"32"	"2013"	"2013"	91	0.02%
	"Nevada"	"32"	"2012"	"2012"	83	0.02%
	"Nevada"	"32"	"2011"	"2011"	96	0.03%
	"Nevada"	"32"	"2010"	"2010"	114	0.03%
	"Nevada"	"32"	"2009"	"2009"	106	0.03%
	"Nevada"	"32"	"2008"	"2008"	102	0.03%
	"Nevada"	"32"	"2007"	"2007"	102	0.03%
	"Nevada"	"32"	"2006"	"2006"	101	0.03%
	"Nevada"	"32"	"2005"	"2005"	112	0.03%
	"Nevada"	"32"	"2004"	"2004"	95	0.03%
	"Nevada"	"32"	"2003"	"2003"	106	0.03%
	"Nevada"	"32"	"2002"	"2002"	85	0.02%
	"Nevada"	"32"	"2001"	"2001"	96	0.03%
	"Nevada"	"32"	"2000"	"2000"	96	0.03%
	"Nevada"	"32"	"1999"	"1999"	93	0.02%
	"Nevada"	"32"	"1998"	"1998"	128	0.03%
	"Nevada"	"32"	"1997"	"1997"	112	0.03%
	"Nevada"	"32"	"1996"	"1996"	137	0.04%
	"Nevada"	"32"	"1995"	"1995"	116	0.03%
	"Nevada"	"32"	"1994"	"1994"	125	0.03%
	"Nevada"	"32"	"1993"	"1993"	101	0.03%
"Total"	"Nevada"	"32"			2560	0.68%
	"New Hampshire"	"33"	"2018"	"2018"	12	0.00%
	"New Hampshire"	"33"	"2017"	"2017"	19	0.01%
	"New Hampshire"	"33"	"2016"	"2016"	15	0.00%
	"New Hampshire"	"33"	"2015"	"2015"	13	0.00%
	"New Hampshire"	"33"	"2014"	"2014"	11	0.00%
	"New Hampshire"	"33"	"2013"	"2013"	15	0.00%
	"New Hampshire"	"33"	"2012"	"2012"	9	0.00%
	"New Hampshire"	"33"	"2011"	"2011"	11	0.00%
	"New Hampshire"	"33"	"2010"	"2010"	10	0.00%
	"New Hampshire"	"33"	"2009"	"2009"	16	0.00%
	"New Hampshire"	"33"	"2008"	"2008"	19	0.01%
	"New Hampshire"	"33"	"2007"	"2007"	11	0.00%
	"New Hampshire"	"33"	"2006"	"2006"	17	0.00%
	"New Hampshire"	"33"	"2005"	"2005"	4	0.00%
	"New Hampshire"	"33"	"2004"	"2004"	24	0.01%
	"New Hampshire"	"33"	"2003"	"2003"	15	0.00%
	"New Hampshire"	"33"	"2002"	"2002"	19	0.01%
	"New Hampshire"	"33"	"2001"	"2001"	20	0.01%
	"New Hampshire"	"33"	"2000"	"2000"	22	0.01%
	"New Hampshire"	"33"	"1999"	"1999"	19	0.01%
	"New Hampshire"	"33"	"1998"	"1998"	14	0.00%
	"New Hampshire"	"33"	"1997"	"1997"	17	0.00%
	"New Hampshire"	"33"	"1996"	"1996"	21	0.01%
	"New Hampshire"	"33"	"1995"	"1995"	23	0.01%
	"New Hampshire"	"33"	"1994"	"1994"	17	0.00%
	"New Hampshire"	"33"	"1993"	"1993"	26	0.01%
"Total"	"New Hampshire"	"33"			419	0.11%
	"New Jersey"	"34"	"2018"	"2018"	291	0.08%
	"New Jersey"	"34"	"2017"	"2017"	283	0.07%
	"New Jersey"	"34"	"2016"	"2016"	294	0.08%
	"New Jersey"	"34"	"2015"	"2015"	326	0.09%
	"New Jersey"	"34"	"2014"	"2014"	307	0.08%
	"New Jersey"	"34"	"2013"	"2013"	319	0.08%
	"New Jersey"	"34"	"2012"	"2012"	302	0.08%
	"New Jersey"	"34"	"2011"	"2011"	331	0.09%
	"New Jersey"	"34"	"2010"	"2010"	404	0.11%
	"New Jersey"	"34"	"2009"	"2009"	405	0.11%
	"New Jersey"	"34"	"2008"	"2008"	422	0.11%
	"New Jersey"	"34"	"2007"	"2007"	467	0.12%
	"New Jersey"	"34"	"2006"	"2006"	508	0.13%
	"New Jersey"	"34"	"2005"	"2005"	485	0.13%
	"New Jersey"	"34"	"2004"	"2004"	482	0.13%
	"New Jersey"	"34"	"2003"	"2003"	495	0.13%
	"New Jersey"	"34"	"2002"	"2002"	530	0.14%
	"New Jersey"	"34"	"2001"	"2001"	530	0.14%
	"New Jersey"	"34"	"2000"	"2000"	565	0.15%
	"New Jersey"	"34"	"1999"	"1999"	570	0.15%
	"New Jersey"	"34"	"1998"	"1998"	639	0.17%
	"New Jersey"	"34"	"1997"	"1997"	718	0.19%
	"New Jersey"	"34"	"1996"	"1996"	820	0.22%
	"New Jersey"	"34"	"1995"	"1995"	848	0.22%
	"New Jersey"	"34"	"1994"	"1994"	853	0.23%
	"New Jersey"	"34"	"1993"	"1993"	911	0.24%
"Total"	"New Jersey"	"34"			13105	3.46%
	"New Mexico"	"35"	"2018"	"2018"	41	0.01%
	"New Mexico"	"35"	"2017"	"2017"	37	0.01%
	"New Mexico"	"35"	"2016"	"2016"	39	0.01%
	"New Mexico"	"35"	"2015"	"2015"	47	0.01%
	"New Mexico"	"35"	"2014"	"2014"	50	0.01%
	"New Mexico"	"35"	"2013"	"2013"	50	0.01%
	"New Mexico"	"35"	"2012"	"2012"	40	0.01%
	"New Mexico"	"35"	"2011"	"2011"	49	0.01%
	"New Mexico"	"35"	"2010"	"2010"	50	0.01%
	"New Mexico"	"35"	"2009"	"2009"	48	0.01%
	"New Mexico"	"35"	"2008"	"2008"	59	0.02%
	"New Mexico"	"35"	"2007"	"2007"	51	0.01%
	"New Mexico"	"35"	"2006"	"2006"	48	0.01%
	"New Mexico"	"35"	"2005"	"2005"	39	0.01%
	"New Mexico"	"35"	"2004"	"2004"	42	0.01%
	"New Mexico"	"35"	"2003"	"2003"	49	0.01%
	"New Mexico"	"35"	"2002"	"2002"	57	0.02%
	"New Mexico"	"35"	"2001"	"2001"	54	0.01%
	"New Mexico"	"35"	"2000"	"2000"	46	0.01%
	"New Mexico"	"35"	"1999"	"1999"	64	0.02%
	"New Mexico"	"35"	"1998"	"1998"	67	0.02%
	"New Mexico"	"35"	"1997"	"1997"	72	0.02%
	"New Mexico"	"35"	"1996"	"1996"	89	0.02%
	"New Mexico"	"35"	"1995"	"1995"	81	0.02%
	"New Mexico"	"35"	"1994"	"1994"	82	0.02%
	"New Mexico"	"35"	"1993"	"1993"	73	0.02%
"Total"	"New Mexico"	"35"			1424	0.38%
	"New York"	"36"	"2018"	"2018"	750	0.20%
	"New York"	"36"	"2017"	"2017"	800	0.21%
	"New York"	"36"	"2016"	"2016"	758	0.20%
	"New York"	"36"	"2015"	"2015"	763	0.20%
	"New York"	"36"	"2014"	"2014"	784	0.21%
	"New York"	"36"	"2013"	"2013"	865	0.23%
	"New York"	"36"	"2012"	"2012"	865	0.23%
	"New York"	"36"	"2011"	"2011"	904	0.24%
	"New York"	"36"	"2010"	"2010"	948	0.25%
	"New York"	"36"	"2009"	"2009"	1003	0.27%
	"New York"	"36"	"2008"	"2008"	1190	0.31%
	"New York"	"36"	"2007"	"2007"	1169	0.31%
	"New York"	"36"	"2006"	"2006"	1263	0.33%
	"New York"	"36"	"2005"	"2005"	1283	0.34%
	"New York"	"36"	"2004"	"2004"	1359	0.36%
	"New York"	"36"	"2003"	"2003"	1471	0.39%
	"New York"	"36"	"2002"	"2002"	1418	0.37%
	"New York"	"36"	"2001"	"2001"	1645	0.43%
	"New York"	"36"	"2000"	"2000"	1718	0.45%
	"New York"	"36"	"1999"	"1999"	1824	0.48%
	"New York"	"36"	"1998"	"1998"	1974	0.52%
	"New York"	"36"	"1997"	"1997"	2230	0.59%
	"New York"	"36"	"1996"	"1996"	2545	0.67%
	"New York"	"36"	"1995"	"1995"	3018	0.80%
	"New York"	"36"	"1994"	"1994"	3575	0.95%
	"New York"	"36"	"1993"	"1993"	3864	1.02%
"Total"	"New York"	"36"			39986	10.57%
	"North Carolina"	"37"	"2018"	"2018"	196	0.05%
	"North Carolina"	"37"	"2017"	"2017"	213	0.06%
	"North Carolina"	"37"	"2016"	"2016"	219	0.06%
	"North Carolina"	"37"	"2015"	"2015"	199	0.05%
	"North Carolina"	"37"	"2014"	"2014"	195	0.05%
	"North Carolina"	"37"	"2013"	"2013"	216	0.06%
	"North Carolina"	"37"	"2012"	"2012"	211	0.06%
	"North Carolina"	"37"	"2011"	"2011"	243	0.06%
	"North Carolina"	"37"	"2010"	"2010"	294	0.08%
	"North Carolina"	"37"	"2009"	"2009"	250	0.07%
	"North Carolina"	"37"	"2008"	"2008"	335	0.09%
	"North Carolina"	"37"	"2007"	"2007"	345	0.09%
	"North Carolina"	"37"	"2006"	"2006"	375	0.10%
	"North Carolina"	"37"	"2005"	"2005"	329	0.09%
	"North Carolina"	"37"	"2004"	"2004"	381	0.10%
	"North Carolina"	"37"	"2003"	"2003"	374	0.10%
	"North Carolina"	"37"	"2002"	"2002"	434	0.11%
	"North Carolina"	"37"	"2001"	"2001"	397	0.10%
	"North Carolina"	"37"	"2000"	"2000"	447	0.12%
	"North Carolina"	"37"	"1999"	"1999"	488	0.13%
	"North Carolina"	"37"	"1998"	"1998"	498	0.13%
	"North Carolina"	"37"	"1997"	"1997"	463	0.12%
	"North Carolina"	"37"	"1996"	"1996"	554	0.15%
	"North Carolina"	"37"	"1995"	"1995"	518	0.14%
	"North Carolina"	"37"	"1994"	"1994"	565	0.15%
	"North Carolina"	"37"	"1993"	"1993"	594	0.16%
"Total"	"North Carolina"	"37"			9333	2.47%
	"North Dakota"	"38"	"2018"	"2018"	13	0.00%
	"North Dakota"	"38"	"2017"	"2017"	14	0.00%
	"North Dakota"	"38"	"2016"	"2016"	22	0.01%
	"North Dakota"	"38"	"2015"	"2015"	9	0.00%
	"North Dakota"	"38"	"2014"	"2014"	15	0.00%
	"North Dakota"	"38"	"2013"	"2013"	12	0.00%
	"North Dakota"	"38"	"2012"	"2012"	26	0.01%
	"North Dakota"	"38"	"2011"	"2011"	6	0.00%
	"North Dakota"	"38"	"2010"	"2010"	9	0.00%
	"North Dakota"	"38"	"2009"	"2009"	5	0.00%
	"North Dakota"	"38"	"2007"	"2007"	7	0.00%
	"North Dakota"	"38"	"2006"	"2006"	10	0.00%
	"North Dakota"	"38"	"2005"	"2005"	6	0.00%
	"North Dakota"	"38"	"2004"	"2004"	4	0.00%
	"North Dakota"	"38"	"2003"	"2003"	6	0.00%
	"North Dakota"	"38"	"2002"	"2002"	6	0.00%
	"North Dakota"	"38"	"2001"	"2001"	6	0.00%
	"North Dakota"	"38"	"2000"	"2000"	5	0.00%
	"North Dakota"	"38"	"1999"	"1999"	7	0.00%
	"North Dakota"	"38"	"1998"	"1998"	10	0.00%
	"North Dakota"	"38"	"1997"	"1997"	12	0.00%
	"North Dakota"	"38"	"1996"	"1996"	8	0.00%
	"North Dakota"	"38"	"1995"	"1995"	5	0.00%
	"North Dakota"	"38"	"1994"	"1994"	10	0.00%
	"North Dakota"	"38"	"1993"	"1993"	7	0.00%
"Total"	"North Dakota"	"38"			240	0.06%
	"Ohio"	"39"	"2018"	"2018"	178	0.05%
	"Ohio"	"39"	"2017"	"2017"	149	0.04%
	"Ohio"	"39"	"2016"	"2016"	142	0.04%
	"Ohio"	"39"	"2015"	"2015"	143	0.04%
	"Ohio"	"39"	"2014"	"2014"	156	0.04%
	"Ohio"	"39"	"2013"	"2013"	148	0.04%
	"Ohio"	"39"	"2012"	"2012"	149	0.04%
	"Ohio"	"39"	"2011"	"2011"	145	0.04%
	"Ohio"	"39"	"2010"	"2010"	190	0.05%
	"Ohio"	"39"	"2009"	"2009"	180	0.05%
	"Ohio"	"39"	"2008"	"2008"	213	0.06%
